date,global_people_fully_vaccinated_per_hundred,global_people_fully_vaccinated_per_hundred_weighted
2020-03-26,NULL,NULL
2020-03-27,NULL,NULL
2020-03-28,NULL,NULL
2020-03-29,NULL,NULL
2020-03-30,NULL,NULL
2020-03-31,NULL,NULL
2020-04-01,NULL,NULL
2020-04-02,NULL,NULL
2020-04-03,NULL,NULL
2020-04-04,NULL,NULL
2020-04-05,NULL,NULL
2020-04-06,NULL,NULL
2020-04-07,NULL,NULL
2020-04-08,NULL,NULL
2020-04-09,NULL,NULL
2020-04-10,NULL,NULL
2020-04-11,NULL,NULL
2020-04-12,NULL,NULL
2020-04-13,NULL,NULL
2020-04-14,NULL,NULL
2020-04-15,NULL,NULL
2020-04-16,NULL,NULL
2020-04-17,NULL,NULL
2020-04-18,NULL,NULL
2020-04-19,NULL,NULL
2020-04-20,NULL,NULL
2020-04-21,NULL,NULL
2020-04-22,NULL,NULL
2020-04-23,NULL,NULL
2020-04-24,NULL,NULL
2020-04-25,NULL,NULL
2020-04-26,NULL,NULL
2020-04-27,NULL,NULL
2020-04-28,NULL,NULL
2020-04-29,NULL,NULL
2020-04-30,NULL,NULL
2020-05-01,NULL,NULL
2020-05-02,NULL,NULL
2020-05-03,NULL,NULL
2020-05-04,NULL,NULL
2020-05-05,NULL,NULL
2020-05-06,NULL,NULL
2020-05-07,NULL,NULL
2020-05-08,NULL,NULL
2020-05-09,NULL,NULL
2020-05-10,NULL,NULL
2020-05-11,NULL,NULL
2020-05-12,NULL,NULL
2020-05-13,NULL,NULL
2020-05-14,NULL,NULL
2020-05-15,NULL,NULL
2020-05-16,NULL,NULL
2020-05-17,NULL,NULL
2020-05-18,NULL,NULL
2020-05-19,NULL,NULL
2020-05-20,NULL,NULL
2020-05-21,NULL,NULL
2020-05-22,NULL,NULL
2020-05-23,NULL,NULL
2020-05-24,NULL,NULL
2020-05-25,NULL,NULL
2020-05-26,NULL,NULL
2020-05-27,NULL,NULL
2020-05-28,NULL,NULL
2020-05-29,NULL,NULL
2020-05-30,NULL,NULL
2020-05-31,NULL,NULL
2020-06-01,NULL,NULL
2020-06-02,NULL,NULL
2020-06-03,NULL,NULL
2020-06-04,NULL,NULL
2020-06-05,NULL,NULL
2020-06-06,NULL,NULL
2020-06-07,NULL,NULL
2020-06-08,NULL,NULL
2020-06-09,NULL,NULL
2020-06-10,NULL,NULL
2020-06-11,NULL,NULL
2020-06-12,NULL,NULL
2020-06-13,NULL,NULL
2020-06-14,NULL,NULL
2020-06-15,NULL,NULL
2020-06-16,NULL,NULL
2020-06-17,NULL,NULL
2020-06-18,NULL,NULL
2020-06-19,NULL,NULL
2020-06-20,NULL,NULL
2020-06-21,NULL,NULL
2020-06-22,NULL,NULL
2020-06-23,NULL,NULL
2020-06-24,NULL,NULL
2020-06-25,NULL,NULL
2020-06-26,NULL,NULL
2020-06-27,NULL,NULL
2020-06-28,NULL,NULL
2020-06-29,NULL,NULL
2020-06-30,NULL,NULL
2020-07-01,NULL,NULL
2020-07-02,NULL,NULL
2020-07-03,NULL,NULL
2020-07-04,NULL,NULL
2020-07-05,NULL,NULL
2020-07-06,NULL,NULL
2020-07-07,NULL,NULL
2020-07-08,NULL,NULL
2020-07-09,NULL,NULL
2020-07-10,NULL,NULL
2020-07-11,NULL,NULL
2020-07-12,NULL,NULL
2020-07-13,NULL,NULL
2020-07-14,NULL,NULL
2020-07-15,NULL,NULL
2020-07-16,NULL,NULL
2020-07-17,NULL,NULL
2020-07-18,NULL,NULL
2020-07-19,NULL,NULL
2020-07-20,NULL,NULL
2020-07-21,NULL,NULL
2020-07-22,NULL,NULL
2020-07-23,NULL,NULL
2020-07-24,NULL,NULL
2020-07-25,NULL,NULL
2020-07-26,NULL,NULL
2020-07-27,NULL,NULL
2020-07-28,NULL,NULL
2020-07-29,NULL,NULL
2020-07-30,NULL,NULL
2020-07-31,NULL,NULL
2020-08-01,NULL,NULL
2020-08-02,NULL,NULL
2020-08-03,NULL,NULL
2020-08-04,NULL,NULL
2020-08-05,NULL,NULL
2020-08-06,NULL,NULL
2020-08-07,NULL,NULL
2020-08-08,NULL,NULL
2020-08-09,NULL,NULL
2020-08-10,NULL,NULL
2020-08-11,NULL,NULL
2020-08-12,NULL,NULL
2020-08-13,NULL,NULL
2020-08-14,NULL,NULL
2020-08-15,NULL,NULL
2020-08-16,NULL,NULL
2020-08-17,NULL,NULL
2020-08-18,NULL,NULL
2020-08-19,NULL,NULL
2020-08-20,NULL,NULL
2020-08-21,NULL,NULL
2020-08-22,NULL,NULL
2020-08-23,NULL,NULL
2020-08-24,NULL,NULL
2020-08-25,NULL,NULL
2020-08-26,NULL,NULL
2020-08-27,NULL,NULL
2020-08-28,NULL,NULL
2020-08-29,NULL,NULL
2020-08-30,NULL,NULL
2020-08-31,NULL,NULL
2020-09-01,NULL,NULL
2020-09-02,NULL,NULL
2020-09-03,NULL,NULL
2020-09-04,NULL,NULL
2020-09-05,NULL,NULL
2020-09-06,NULL,NULL
2020-09-07,NULL,NULL
2020-09-08,NULL,NULL
2020-09-09,NULL,NULL
2020-09-10,NULL,NULL
2020-09-11,NULL,NULL
2020-09-12,NULL,NULL
2020-09-13,NULL,NULL
2020-09-14,NULL,NULL
2020-09-15,NULL,NULL
2020-09-16,NULL,NULL
2020-09-17,NULL,NULL
2020-09-18,NULL,NULL
2020-09-19,NULL,NULL
2020-09-20,NULL,NULL
2020-09-21,NULL,NULL
2020-09-22,NULL,NULL
2020-09-23,NULL,NULL
2020-09-24,NULL,NULL
2020-09-25,NULL,NULL
2020-09-26,NULL,NULL
2020-09-27,NULL,NULL
2020-09-28,NULL,NULL
2020-09-29,NULL,NULL
2020-09-30,NULL,NULL
2020-10-01,NULL,NULL
2020-10-02,NULL,NULL
2020-10-03,NULL,NULL
2020-10-04,NULL,NULL
2020-10-05,NULL,NULL
2020-10-06,NULL,NULL
2020-10-07,NULL,NULL
2020-10-08,NULL,NULL
2020-10-09,NULL,NULL
2020-10-10,NULL,NULL
2020-10-11,NULL,NULL
2020-10-12,NULL,NULL
2020-10-13,NULL,NULL
2020-10-14,NULL,NULL
2020-10-15,NULL,NULL
2020-10-16,NULL,NULL
2020-10-17,NULL,NULL
2020-10-18,NULL,NULL
2020-10-19,NULL,NULL
2020-10-20,NULL,NULL
2020-10-21,NULL,NULL
2020-10-22,NULL,NULL
2020-10-23,NULL,NULL
2020-10-24,NULL,NULL
2020-10-25,NULL,NULL
2020-10-26,NULL,NULL
2020-10-27,NULL,NULL
2020-10-28,NULL,NULL
2020-10-29,NULL,NULL
2020-10-30,NULL,NULL
2020-10-31,NULL,NULL
2020-11-01,NULL,NULL
2020-11-02,NULL,NULL
2020-11-03,NULL,NULL
2020-11-04,NULL,NULL
2020-11-05,NULL,NULL
2020-11-06,NULL,NULL
2020-11-07,NULL,NULL
2020-11-08,NULL,NULL
2020-11-09,NULL,NULL
2020-11-10,NULL,NULL
2020-11-11,NULL,NULL
2020-11-12,NULL,NULL
2020-11-13,NULL,NULL
2020-11-14,NULL,NULL
2020-11-15,NULL,NULL
2020-11-16,NULL,NULL
2020-11-17,NULL,NULL
2020-11-18,NULL,NULL
2020-11-19,NULL,NULL
2020-11-20,NULL,NULL
2020-11-21,NULL,NULL
2020-11-22,NULL,NULL
2020-11-23,NULL,NULL
2020-11-24,NULL,NULL
2020-11-25,NULL,NULL
2020-11-26,NULL,NULL
2020-11-27,NULL,NULL
2020-11-28,NULL,NULL
2020-11-29,NULL,NULL
2020-11-30,NULL,NULL
2020-12-01,NULL,NULL
2020-12-02,0,0
2020-12-03,NULL,NULL
2020-12-04,0,0
2020-12-05,NULL,NULL
2020-12-06,NULL,NULL
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0.0028310502,0.000120548475425644
2020-12-14,0.00143953435,0.000122593149121973
2020-12-15,0.0007437765,0.000126682496514631
2020-12-16,0.000781693675,0.000133140673189622
2020-12-17,0.000842156175,0.000143438846806499
2020-12-18,0.00075137456,0.000159970781692672
2020-12-19,0.0010350412175,0.000174470510405054
2020-12-20,0.000876227374,0.000184731281454315
2020-12-21,0.000974255634,0.000205601914183918
2020-12-22,0.00115138575564,0.000243216429682849
2020-12-23,0.00134264045564,0.00028393535829389
2020-12-24,0.00117976871303333,0.000299494826422053
2020-12-25,0.00142380363564,0.000301215344532378
2020-12-26,0.00106175862545714,0.000314555593648672
2020-12-27,0.000624122816015385,0.000324716624517624
2020-12-28,0.000676577708786667,0.00038079554089621
2020-12-29,0.0008029023289125,0.000449778343102238
2020-12-30,0.00109415802075,0.000546227097460785
2020-12-31,0.00136537401944667,0.000590748620446096
2021-01-01,0.00118283493637333,0.000706596839874691
2021-01-02,0.00173910444614286,0.000746393171817876
2021-01-03,0.00140053072755556,0.000778796262895676
2021-01-04,0.00250522701682353,0.00134921035408133
2021-01-05,0.0040829196915,0.00245443129208242
2021-01-06,0.00679222033794737,0.00464240669247005
2021-01-07,0.0128142129353529,0.00819843087349482
2021-01-08,0.0152947462086818,0.0128068885020923
2021-01-09,0.0209499017031111,0.0144417048624877
2021-01-10,0.151260413409783,0.0233851948828887
2021-01-11,0.0726099316706316,0.0248466129398174
2021-01-12,0.0903497326838095,0.0294711287374446
2021-01-13,0.1325915294682,0.0338220198179173
2021-01-14,0.184168739459684,0.0365660841260937
2021-01-15,0.142846084055714,0.0387364429171343
2021-01-16,0.17153266192672,0.0400110974864349
2021-01-17,0.2137405865988,0.0418852528770036
2021-01-18,0.243741486778276,0.0468877465554333
2021-01-19,0.31943094127931,0.0541543547943937
2021-01-20,0.369221506425,0.0628679561667057
2021-01-21,0.483613062593103,0.0701678277557991
2021-01-22,0.453411681620371,0.0756244384751745
2021-01-23,0.503590345428125,0.0777987619383823
2021-01-24,0.601612214083871,0.0826800837652594
2021-01-25,0.606655374810811,0.0935216792870259
2021-01-26,0.6825014486,0.10574438955305
2021-01-27,0.760260109861111,0.118655244725591
2021-01-28,0.938692168864516,0.131237393666403
2021-01-29,0.935178706786486,0.141399334664501
2021-01-30,1.09668174586667,0.145431830154383
2021-01-31,1.05105460838235,0.154073768207143
2021-02-01,1.15231455817143,0.16622808164452
2021-02-02,1.18035070921808,0.18043956123581
2021-02-03,1.41761423876433,0.198486013357404
2021-02-04,1.70998634042351,0.217475022650437
2021-02-05,1.68597118050425,0.230869430684638
2021-02-06,1.91128784658568,0.234696498805652
2021-02-07,2.05375945782857,0.249289197833604
2021-02-08,1.92468588574175,0.257556262418674
2021-02-09,2.19477012940476,0.280421673819406
2021-02-10,2.32200204625952,0.295489796884323
2021-02-11,2.37136484435,0.323648494459175
2021-02-12,2.5627829767561,0.340750693826263
2021-02-13,2.88362345498649,0.347852631027534
2021-02-14,3.01889495189189,0.369394776988588
2021-02-15,2.68446835507907,0.383344675489495
2021-02-16,2.85791882711628,0.403215674729476
2021-02-17,3.09102832306667,0.427733132606752
2021-02-18,3.0619287024,0.451621242413803
2021-02-19,3.43578526030435,0.47000496595511
2021-02-20,3.20121490364619,0.483191827141611
2021-02-21,3.28636181933186,0.50209300273836
2021-02-22,2.61579159221485,0.517438789997734
2021-02-23,3.45959528430795,0.570783778163967
2021-02-24,3.06821066438479,0.582208255299458
2021-02-25,3.22601244743742,0.601345441097862
2021-02-26,2.93333111268757,0.642169346248678
2021-02-27,3.50209312235796,0.635283720563452
2021-02-28,3.12371288125796,0.671294376560451
2021-03-01,3.03586395124273,0.680072522296946
2021-03-02,2.9194211931076,0.712909620301837
2021-03-03,3.75013798674882,0.75922236471779
2021-03-04,3.82202388514859,0.77405078719438
2021-03-05,3.56494939553425,0.807634714734378
2021-03-06,3.8333860316963,0.821187348097116
2021-03-07,3.95068405743247,0.82945595865498
2021-03-08,3.90984771146219,0.873476511649646
2021-03-09,3.61560009316449,0.901140385722464
2021-03-10,3.89829671856492,0.936600500859204
2021-03-11,4.22369630047373,0.983913950971718
2021-03-12,4.11135547769603,1.0076462541496
2021-03-13,3.99507694255181,1.01860528126616
2021-03-14,4.15879582053716,1.01143810151945
2021-03-15,4.35257061914816,1.086896248179
2021-03-16,4.43060042112753,1.11521504121077
2021-03-17,4.01675370031136,1.19470150674016
2021-03-18,5.09446895537328,1.20578389999223
2021-03-19,4.74056707901764,1.26265379340324
2021-03-20,4.99650635564413,1.27278400455647
2021-03-21,4.79700611683494,1.2564326243317
2021-03-22,5.03498265830339,1.30547836189582
2021-03-23,4.9453906493158,1.33027054163223
2021-03-24,5.13471976570328,1.3870028434645
2021-03-25,5.10223107678269,1.39594675738067
2021-03-26,4.97184690912855,1.5023499557597
2021-03-27,5.81893519319876,1.43764254131765
2021-03-28,4.32626825856655,1.3545561659279
2021-03-29,5.54185319595901,1.5630869006365
2021-03-30,5.7040285121313,1.64230461625004
2021-03-31,5.47578844581255,1.70595478478082
2021-04-01,6.45526351877579,1.75531292105718
2021-04-02,5.31193360136946,1.79599005853268
2021-04-03,4.80293026023313,1.79360143082455
2021-04-04,5.4858645655899,1.76654322899666
2021-04-05,4.77245805488193,1.88994529591598
2021-04-06,5.42755738511791,1.92033743794592
2021-04-07,6.71662052302748,2.01618891070221
2021-04-08,5.39329574713991,2.06793316871467
2021-04-09,6.68041727583098,2.1559433552481
2021-04-10,7.50936349936484,2.15575949669323
2021-04-11,6.79380187019476,2.15554892023755
2021-04-12,5.87107605466214,2.21679924028992
2021-04-13,7.32905930142756,2.31334950521697
2021-04-14,6.01200543476666,2.36157305953976
2021-04-15,7.37686954525473,2.42332820204724
2021-04-16,6.71882297983498,2.49614150094298
2021-04-17,6.66581492455343,2.48117139754026
2021-04-18,7.73958372766621,2.4815092923361
2021-04-19,6.95975574230292,2.62509314889725
2021-04-20,7.03259733999108,2.52669686777799
2021-04-21,8.13771383159309,2.75541848095234
2021-04-22,7.94809933857215,2.85502964733784
2021-04-23,7.5397844205565,2.6944253409549
2021-04-24,6.91921580571094,2.5698748655995
2021-04-25,7.4061570127621,2.95507847363454
2021-04-26,9.4972119235714,3.03936570832769
2021-04-27,8.04398206403738,3.0725079988168
2021-04-28,7.83749379138413,3.24772010239749
2021-04-29,9.50444300915024,3.28221407181015
2021-04-30,9.38241731826519,3.33900553203686
2021-05-01,8.72979823985343,3.37273202569709
2021-05-02,9.94864685235343,3.40801393006666
2021-05-03,9.31610440783654,3.41265176117836
2021-05-04,9.30771407575138,3.57190223175637
2021-05-05,11.0360428678464,3.70437616677567
2021-05-06,10.73206133649,3.72217240818743
2021-05-07,11.0715930061552,3.84307402618898
2021-05-08,9.84720823112838,3.83788459447761
2021-05-09,9.53011495800658,3.78548081699038
2021-05-10,9.88129964880649,3.87798050851988
2021-05-11,8.92813546660869,4.08573698514378
2021-05-12,10.0314467848351,4.1399175217355
2021-05-13,11.9851917136579,4.16044301603867
2021-05-14,11.0700044988691,4.08368350937654
2021-05-15,11.32216543872,4.11392144062019
2021-05-16,11.0612761816914,4.36734333542232
2021-05-17,11.1466795901348,4.45282962162809
2021-05-18,10.9986849586036,4.42722176669711
2021-05-19,13.1552196236364,4.53634642576596
2021-05-20,11.304899182561,4.6607798186172
2021-05-21,10.5958027601036,4.15054856573664
2021-05-22,12.8221386251707,4.67045307013435
2021-05-23,12.7213542418275,4.73162919596009
2021-05-24,12.0632097351717,4.92120179096146
2021-05-25,13.2592976691026,4.95192599298669
2021-05-26,12.5320513311657,4.87744234529132
2021-05-27,14.8343738716495,4.84000691328613
2021-05-28,16.2618752980323,4.91210249431189
2021-05-29,13.9710802112143,4.94960533821145
2021-05-30,14.9998259844458,5.14574692122812
2021-05-31,12.6689487651295,5.23046423557876
2021-06-01,14.1576761856396,5.32917074606134
2021-06-02,15.615182421524,5.37020214818977
2021-06-03,15.9998468846489,5.47149181713464
2021-06-04,15.8063937146309,5.29953025849773
2021-06-05,15.6287516756588,5.48875926104546
2021-06-06,15.2346492922128,5.40703635885557
2021-06-07,16.1636936335343,5.66685485323888
2021-06-08,13.4343747542462,5.75500746874979
2021-06-09,15.8655460942812,5.81649160471985
2021-06-10,14.3305740472596,5.85159095962441
2021-06-11,16.1182762191939,5.83781068176764
2021-06-12,17.3873723439286,5.88024794667257
2021-06-13,16.4817789237209,6.02472470226288
2021-06-14,14.6955949691355,6.17793228934165
2021-06-15,15.5610569111835,6.09210969171541
2021-06-16,17.434410848087,6.31473362662897
2021-06-17,18.6037561784615,6.42758376844518
2021-06-18,19.0482864463043,6.30124101191973
2021-06-19,17.6444948083553,6.27307610551865
2021-06-20,17.1512623436176,6.6077445932796
2021-06-21,18.7223388727129,6.67275742462128
2021-06-22,19.9153858810112,6.63989854585451
2021-06-23,18.6368854530208,6.82912635152007
2021-06-24,19.4670978561078,6.923537463865
2021-06-25,20.4852674985417,6.74080993769804
2021-06-26,18.6892620704935,6.79264229122476
2021-06-27,19.7674096390909,7.09319279265025
2021-06-28,18.251324105875,7.294541623468
2021-06-29,20.4832337496275,7.25860042403907
2021-06-30,20.260330637449,7.41527378290321
2021-07-01,22.7025956105814,7.4055602862233
2021-07-02,24.4409729370707,7.44169836030065
2021-07-03,21.4354841263158,7.13861323647811
2021-07-04,22.1080226978889,7.84810441171014
2021-07-05,19.2036562215963,8.01314366521051
2021-07-06,22.2773516141414,7.86766018211025
2021-07-07,22.7712897685743,8.15844615728608
2021-07-08,24.1718251095745,8.15738990877661
2021-07-09,23.9191299897822,7.18078609016503
2021-07-10,24.4028366837179,7.90220772446726
2021-07-11,23.5015020113333,8.58649330938301
2021-07-12,21.4451823305981,8.69689377003323
2021-07-13,23.2793575916204,8.71075819119962
2021-07-14,27.7298922294737,8.78571979383903
2021-07-15,27.6326917987234,8.95650575237321
2021-07-16,26.3918771329348,8.46534938508092
2021-07-17,25.3617185194805,8.66621056122211
2021-07-18,25.7653123217242,8.01608774598277
2021-07-19,24.649656750819,9.16679332308528
2021-07-20,27.1461664160825,9.26296013688914
2021-07-21,27.7381547321598,9.18574706175705
2021-07-22,27.8693353410613,9.57156973215623
2021-07-23,30.124317859798,9.45843755004514
2021-07-24,24.3046043687229,8.96973793300413
2021-07-25,26.2472798954348,9.98904552228242
2021-07-26,26.422653555949,10.2898034458804
2021-07-27,26.904846212384,10.1524670897984
2021-07-28,29.460475179674,10.3094313907685
2021-07-29,27.3623379889968,10.5181084692566
2021-07-30,30.7578343308448,10.2160711035607
2021-07-31,29.1957980992857,8.94389939150362
2021-08-01,28.9107846697802,10.740155095539
2021-08-02,28.31284666294,9.66456137965757
2021-08-03,26.2479743313991,11.1392329242132
2021-08-04,30.0595627704074,10.8480318678095
2021-08-05,29.1901540079667,11.3428688223005
2021-08-06,32.3944104072495,10.6437001198867
2021-08-07,31.3945038349398,10.5696674349491
2021-08-08,30.6052875889655,11.4606025550327
2021-08-09,27.3237198242573,11.7433081543059
2021-08-10,30.4331259246543,11.8609092325983
2021-08-11,33.2117452776735,12.0372471160617
2021-08-12,30.3571765133674,20.2780843350055
2021-08-13,33.5390064257969,11.7789182038687
2021-08-14,33.0463522831169,11.4466595136691
2021-08-15,32.9187855152174,11.1296398388659
2021-08-16,28.4942424239607,12.4641723532079
2021-08-17,33.9787439276596,12.5456326270355
2021-08-18,33.326164707375,12.9202391900034
2021-08-19,33.0211060557732,12.6743334159688
2021-08-20,33.4401541723036,12.8841740509329
2021-08-21,34.2077807556173,12.5418966216991
2021-08-22,33.6000695965263,13.2762223537767
2021-08-23,31.1003006141825,13.0686849813939
2021-08-24,36.1069121094737,13.5125927296908
2021-08-25,31.3127834156286,13.2427220459103
2021-08-26,38.0969582149,24.3956674371252
2021-08-27,34.4817899255347,13.4093726269586
2021-08-28,34.7135618124097,12.9973494579446
2021-08-29,35.5805478765306,14.3056398321464
2021-08-30,35.0175979845979,13.7831749474501
2021-08-31,34.3483632287798,14.3708493760587
2021-09-01,36.1775564308911,14.3994426790018
2021-09-02,38.6193793252874,14.2275342943485
2021-09-03,38.7398256979798,13.6959586678169
2021-09-04,37.18519587625,13.9700839809363
2021-09-05,35.3052696149362,15.0918371281091
2021-09-06,37.354734633268,26.9733978891959
2021-09-07,36.955574122,14.6705609254251
2021-09-08,40.0782359482022,14.673689550466
2021-09-09,37.09377140205,15.609115585767
2021-09-10,38.5388932272222,15.4203061527553
2021-09-11,39.708064668241,14.6274051696638
2021-09-12,37.4667684608172,16.1736989532844
2021-09-13,37.6997988165591,15.6704000044935
2021-09-14,38.2304124427723,16.3866534766778
2021-09-15,39.2222014354082,28.6873250811341
2021-09-16,41.3153009147369,16.1848979428073
2021-09-17,41.2929844221111,15.6493828783741
2021-09-18,42.3680228614286,27.501880211178
2021-09-19,38.0600004808333,17.1985329963434
2021-09-20,37.4637274216304,16.3161321821905
2021-09-21,40.4664397574,16.6512513334887
2021-09-22,36.756315171982,17.2926319219239
2021-09-23,40.4586739648889,16.4103098277084
2021-09-24,42.1057532484848,16.2486685974759
2021-09-25,41.23220234425,16.4932856286407
2021-09-26,40.0470422254839,17.0602818731976
2021-09-27,38.7105019840206,18.0856915916423
2021-09-28,40.9198114863636,30.7918234986509
2021-09-29,39.6662712939175,16.9340196319327
2021-09-30,38.9750082117526,17.5712501686081
2021-10-01,43.0996486547423,16.6298783593409
2021-10-02,41.2800248757143,16.7679249777144
2021-10-03,44.7281388795181,17.5199523975128
2021-10-04,43.8559316511905,18.4373326539385
2021-10-05,42.8382646816326,17.9625125811687
2021-10-06,41.0864032149484,18.4442962889122
2021-10-07,40.0979325141489,18.7396291820254
2021-10-08,43.0695835337255,18.1840697325162
2021-10-09,43.7062962175,17.8354812184384
2021-10-10,44.4766973140425,18.6202718786381
2021-10-11,43.0872580286207,18.8758608408054
2021-10-12,42.243943789902,19.6427814518599
2021-10-13,45.7518802690322,19.058585449572
2021-10-14,41.8348963051485,19.3983593379424
2021-10-15,44.3842647470707,18.223346679938
2021-10-16,46.4786092823529,17.0548871138576
2021-10-17,44.1588556630526,19.970261639891
2021-10-18,45.1420006218,19.430457760172
2021-10-19,44.7567511490722,19.6594922582919
2021-10-20,47.0342099365517,19.4642661155852
2021-10-21,43.5328194622449,19.9450563238602
2021-10-22,46.7605179098901,18.5886554009599
2021-10-23,45.5071605292771,33.2570951145677
2021-10-24,46.5186722564835,19.9489607529585
2021-10-25,46.0851468129583,20.1865712359371
2021-10-26,47.5408305544444,20.3530984134473
2021-10-27,47.310249032561,18.705475289225
2021-10-28,45.1154121761225,20.3986113413573
2021-10-29,46.07837355216,33.5637197431039
2021-10-30,50.4387687171053,19.9864668758165
2021-10-31,43.4718260412631,21.1769643713592
2021-11-01,44.8328100993548,21.1161378972031
2021-11-02,48.488674108046,21.8051719001555
2021-11-03,46.2925019866489,21.6138791111994
2021-11-04,43.5942773394737,21.9477922416398
2021-11-05,49.0656043103125,33.5512850475522
2021-11-06,48.3441590495,19.7024141108629
2021-11-07,47.6360352830952,22.0222253210637
2021-11-08,47.6515323628125,21.5914481555565
2021-11-09,48.3673156522011,21.8002323924009
2021-11-10,44.2575024683569,22.4410823506094
2021-11-11,46.2870049729958,22.8586496024809
2021-11-12,50.7576749352457,34.5434655644081
2021-11-13,50.418462584,20.9010005474962
2021-11-14,49.189752204,23.3413272315905
2021-11-15,47.2445396859525,23.0399725624937
2021-11-16,52.1839260303182,22.7586911283201
2021-11-17,52.2292390835294,23.3727222361984
2021-11-18,47.6804223175464,23.8348143149487
2021-11-19,51.2110766881721,34.8393142015261
2021-11-20,52.5128316333333,22.0847670520357
2021-11-21,50.2667413977083,23.4371254804931
2021-11-22,46.8873365061,23.6250307563028
2021-11-23,51.9692538347555,22.6612205108792
2021-11-24,45.8929800636735,24.2376325998648
2021-11-25,50.3355978667523,23.0214048681899
2021-11-26,52.2540391762558,22.5233023329229
2021-11-27,54.5682217747369,23.5352173670495
2021-11-28,49.752772279,26.1852618560759
2021-11-29,49.5851251902549,39.3075187220787
2021-11-30,51.1543908622449,24.1187175818396
2021-12-01,53.1611379598539,25.2469590396893
2021-12-02,50.2236804282609,25.5551631412534
2021-12-03,53.6450506393617,36.9584771684032
2021-12-04,53.2310473631579,22.9678445285068
2021-12-05,51.5565954760055,26.080140655637
2021-12-06,49.22544176,25.6408993140134
2021-12-07,53.26911068,23.4155506322204
2021-12-08,52.0631917132653,26.3639303932676
2021-12-09,50.926256695875,26.2366410400934
2021-12-10,54.5954526448421,38.7685509144211
2021-12-11,53.9954384128205,24.347467708238
2021-12-12,50.138919552798,27.17277545509
2021-12-13,51.9524302114583,26.3180261846302
2021-12-14,52.8543740441778,26.2204023662724
2021-12-15,50.8844964399684,26.5407793578824
2021-12-16,52.3999705976744,25.9675586652955
2021-12-17,56.4508303388889,39.0833104892061
2021-12-18,56.4950739942857,23.8669011922524
2021-12-19,53.6859656089888,42.8921393603297
2021-12-20,51.1500087683673,27.0047448564395
2021-12-21,54.1720239050633,25.2620558006535
2021-12-22,54.0267967504651,25.9874138307819
2021-12-23,51.3047899266316,22.3785505437854
2021-12-24,55.0892165025641,24.9585420932762
2021-12-25,56.5848781383333,36.6473208323072
2021-12-26,53.8933912822785,23.9694614762892
2021-12-27,55.0806302987805,26.1431805638745
